State,Constituency Name,Candidate,Party,Votes Margin,Year
Gujarat,Navsari,Shri C.R. Patil,BJP,689668,2019
Haryana,Karnal,Shri Sanjay Bhatiya,BJP,656142,2019
Haryana,Faridabad,Shri Krishan Pal Gurjar,BJP,638239,2019
Gujarat,Anand,Shri Miteshbhai Patel,BJP,633097,2019
Rajasthan,Bhilwara,Shri Subhash Chandra Baheria,BJP,612000,2019
West Bengal,Arambagh,Anil Basu,CPM,592502,2004
Gujarat,Vadodara,Mrs. Ranjanben Bhatt,BJP,589177,2019
Delhi,West Delhi,Sh. Pravesh Verma,BJP,578486,2019
Rajasthan,Chittorgarh,Chandra Prakash Joshi,BJP,576247,2019
Gujarat,Vadodara,Narendra Modi,BJP,570128,2014
Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,BJP,567260,2014
Gujarat,Navsari,C. R. Patil,BJP,558116,2014
Gujarat,Gandhinagar,Shri Amit Shah,BJP,557014,2019
Delhi,North West Delhi,Shri Hansraj Hans,BJP,553897,2019
Madhya Pradesh,Hoshangabad,Shri Rao Udai Pratap Singh,BJP,553682,2019
Rajasthan,Rajsamand,Smt Diya Kumari,BJP,551916,2019
Gujarat,Surat,Smt. Darshana Vikram Jardosh,BJP,548230,2019
Madhya Pradesh,Indore,Sh. Shankar Lalwani,BJP,547754,2019
Andhra Pradesh,Kadapa,Y.S.J.M. Reddy,YSRCP,545672,2009
Rajasthan,Jaipur,Ramcharan Bohara,BJP,539345,2014
Tamil Nadu,Dindigul,Velusamy P.,DMK,538972,2019
Gujarat,Surat,Darshana Vikram Jardosh,BJP,533190,2014
Tamil Nadu,Sriperumbudur,Baalu.T.R.,DMK,507955,2019
Tripura,Tripura East,Sankar Prasad Datta,CPM,503486,2014
Madhya Pradesh,Vidisha,Shri Ramakant Bhargav,BJP,503084,2019
Uttar Pradesh,Ghaziabad,Vijay Kumar Singh,BJP,501500,2019
Uttar Pradesh,Fatehpur Sikri,Raj Kumar Chaher,BJP,495065,2019
Madhya Pradesh,Khajuraho,Bishnu Datt Sharma,BJP,492382,2019
Jharkhand,Dhanbad,Shri Pashupati Nath Singh,BJP,486194,2019
Tripura,Tripura West,Jitendera Choudhury,CPM,484358,2014
Assam,Kokrajhar,Sansuma Khunggur Bwiswmuthiary,IND,484129,2004
Gujarat,Gandhinagar,L.K.Advani,BJP,483121,2014
Nagaland,Nagaland,Chongshen Mongkosungkum Chang,NPF,483021,2009
Rajasthan,Pali,Shri P P Chaudhary,BJP,481597,2019
Karnataka,Uttara Kannada,Anantkumar Hegde,BJP,479649,2019
Jharkhand,Hazaribagh,Shri Jayant Sinha,BJP,479548,2019
Uttar Pradesh,Varanasi,Narendra Modi,BJP,479505,2019
Himachal Pradesh,Kangra,Shri Kishan Kapoor,BJP,477623,2019
Jharkhand,Palamau,Shri Vishnu Dayal Ram,BJP,477606,2019
West Bengal,Burdwan,Nikhilananda Sar,CPM,471351,2004
Madhya Pradesh,Indore,Sumitra Mahajan (Tai),BJP,466901,2014
Haryana,Faridabad,Krishan Pal,BJP,466873,2014
Maharashtra,Mumbai North,Shri Gopal Shetty,BJP,465247,2019
Tamil Nadu,Chennai North,Dr. Kalanidhi Veeraswamy,DMK,461518,2019
Tamil Nadu,Tiruchirappalli,Su. Thirunnavukkarasar,INC,459286,2019
Jharkhand,Kodarma,Smt Annapurna Devi Yadav,BJP,455600,2019
Bihar,Madhubani,Ashok Kumar Yadav,BJP,454940,2019
Madhya Pradesh,Jabalpur,Shri Rakesh Singh,BJP,454744,2019
Rajasthan,Jhalawar-Baran,Shri Dushyant Singh,BJP,453928,2019
Nagaland,Nagaland,W. Wangyuh,NPF,452019,2004
Maharashtra,Mumbai-North,Gopal Chinayya Shetty,BJP,446582,2014
Haryana,Rohtak,Deepender Singh Hooda,INC,445736,2009
Haryana,Bhiwani-Mahendragarh,Shri Dharmvir Singh,BJP,444463,2019
Rajasthan,Udaipur,Shri Arjunlal Meena,BJP,437914,2019
Gujarat,Ahmedabad East,Patel Hasmukhbhai Somabhai,BJP,434330,2019
